sample_uid	sample_name	raw_contigs	post_qc_absolute_seqs	post_qc_unique_seqs	post_taxa_id_absolute_symbiodiniaceae_seqs	post_taxa_id_unique_symbiodiniaceae_seqs	size_screening_violation_absolute	size_screening_violation_unique	post_taxa_id_absolute_non_symbiodiniaceae_seqs	post_taxa_id_unique_non_symbiodiniaceae_seqs	post_med_absolute	post_med_unique	noName Clade A	noName Clade B	noName Clade C	noName Clade D	noName Clade E	noName Clade F	noName Clade G	noName Clade H	noName Clade I	sample_type	host_phylum	host_class	host_order	host_family	host_genus	host_species	collection_latitude	collection_longitude	collection_date	collection_depth
106271	WP_Pstr_66_2019	17867	7635	137	7635	137	0	0	0	0	7527	11	0	3754	0	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Mussidae	Pseudodiploria	strigosa	18.30025300	64.71693500	2019.07.29	8.6
106134	WP_Pfur_27_2017	895	295	21	295	21	0	0	0	0	292	15	0	0	0	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Poritidae	Porites	furcata	18.30025300	64.71693500	2017.07.30	9.8
106121	CH_Pfur_14_2017	1475	402	24	402	24	0	0	0	0	390	15	0	6	0	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Poritidae	Porites	furcata	18.30011200	64.71675200	2017.07.30	10.6
106130	ET_Mcav_34_2017	952	303	24	303	24	0	0	0	0	282	15	0	0	9	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Montastraeidae	Montastraea	cavernosa	18.30018900	64.71677400	2017.07.31	7.8
106218	CH_Ofra_81_2018	14167	9023	119	9023	119	0	0	0	0	8862	26	0	0	1393	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Merulinidae	Orbicella	franksi	18.30011200	64.71675200	2018.08.15	7.8
106107	CH_Ofra_81_2017	19115	13518	209	13518	209	0	0	0	0	13302	27	0	0	2078	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Merulinidae	Orbicella	franksi	18.30011200	64.71675200	2017.07.30	7.8
106112	CH_Cnat_05_2017	26837	18130	297	18049	294	0	0	81	3	17010	22	0	2134	0	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Mussidae	Colpophyllia	natans	18.30011200	64.71675200	2017.07.17	6.7
106203	CH_Cnat_05_2018	33791	20207	326	20099	319	0	0	108	7	18587	21	0	2465	0	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Mussidae	Colpophyllia	natans	18.30011200	64.71675200	2018.08.15	6.7
106222	ET_Cnat_61_2019	23610	15726	321	15594	309	0	0	132	12	14410	29	0	2195	0	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Mussidae	Colpophyllia	natans	18.30018900	64.71677400	2019.07.24	6.9
106250	CH_Cnat_05_2019	26197	17057	250	16991	245	0	0	66	5	16082	25	0	2514	0	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Mussidae	Colpophyllia	natans	18.30011200	64.71675200	2019.07.27	6.7
106171	WP_Pstr_66_2017	30973	21192	361	21192	361	0	0	0	0	20970	10	0	167	0	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Mussidae	Pseudodiploria	strigosa	18.30025300	64.71693500	2017.08.03	8.6
106270	WP_Pstr_68_2019	10592	6323	109	6323	109	0	0	0	0	6245	12	0	294	4	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Mussidae	Pseudodiploria	strigosa	18.30025300	64.71693500	2019.07.29	8.6
106173	WP_Pstr_68_2017	25791	17621	319	17621	319	0	0	0	0	17290	13	0	1569	0	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Mussidae	Pseudodiploria	strigosa	18.30025300	64.71693500	2017.08.03	8.6
106232	ET_Pstr_42_2019	18708	12170	248	12170	248	0	0	0	0	11937	15	0	1028	0	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Mussidae	Pseudodiploria	strigosa	18.30018900	64.71677400	2019.07.24	7.9
106149	ET_Pstr_42_2017	25706	16955	315	16955	315	0	0	0	0	16581	24	0	1453	15	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Mussidae	Pseudodiploria	strigosa	18.30018900	64.71677400	2017.07.31	7.9
106188	ET_Pstr_42_2018	24244	17398	297	17395	296	0	0	3	1	16959	17	0	2063	0	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Mussidae	Pseudodiploria	strigosa	18.30018900	64.71677400	2018.08.13	7.9
106194	ET_Dlab_62_2018	26716	19036	294	19036	294	0	0	0	0	18505	19	0	1979	0	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Mussidae	Diploria	labrynthiformis	18.30018900	64.71677400	2018.08.13	7.1
106156	ET_Dlab_62_2017	35723	25472	419	25472	419	0	0	0	0	24525	23	4	2968	5	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Mussidae	Diploria	labrynthiformis	18.30018900	64.71677400	2019.07.24	7.1
106207	CH_Dlab_50_2018	32349	12681	224	12681	224	0	0	0	0	12332	25	0	3110	0	0	0	0	8	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Mussidae	Diploria	labrynthiformis	18.30011200	64.71675200	2018.08.15	9.6
106153	CH_Dlab_50_2017	42396	24465	390	24465	390	0	0	0	0	23920	23	0	6564	0	0	0	0	7	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Mussidae	Diploria	labrynthiformis	18.30011200	64.71675200	2017.08.02	9.6
